ID;createdAt;createdBy;modifiedAt;modifiedBy;bot_ID
4430f3c2-2361-4022-a1ee-507fa9e7bcd9;2020-11-07T14:59:45.919Z;Echo;2019-07-26T07:44:25.453Z;Zulu Kilo Juliett;982
af815c0c-0092-4ae4-af50-5c954e1aca71;2021-03-13T21:53:15.279Z;India Delta X-ray;2020-08-02T03:38:17.999Z;Lima;131
160c49fd-9f97-40c3-8915-e367263e29de;2021-03-26T22:33:56.386Z;November Alfa X-ray;2021-11-13T05:01:20.802Z;Bravo;604
53fa237b-4f92-4d8c-a4b0-4def1acfa948;2020-05-06T20:29:11.629Z;India Golf Kilo;2019-11-08T21:08:34.746Z;Sierra Romeo Victor;906
c2a70c99-4a4b-47dd-a574-5f7d54843c63;2020-07-28T11:20:34.350Z;Juliett;2019-07-26T15:10:37.492Z;Oscar Tango;606
e3bb7fca-64e6-4f31-9703-e17a519e297a;2022-09-16T18:28:00.869Z;Victor Juliett;2020-05-24T09:04:11.794Z;Zulu;85
6751b6fc-ca4e-42cd-831a-831ed778ebb2;2018-06-10T17:42:50.803Z;Echo Mike Kilo;2022-02-25T11:19:19.494Z;India;461
6af7c70d-435d-4cde-b61b-2c1e62c6cd30;2021-05-25T20:38:21.556Z;Lima Quebec;2020-02-16T04:23:46.895Z;Charlie Hotel India;47
d2e66ffb-b878-4335-8892-6058759ea13f;2019-02-15T18:02:47.256Z;Victor;2021-11-03T00:42:12.281Z;Yankee;270
7525c25f-a72b-4bcb-970e-d495955dac04;2020-04-11T21:15:02.118Z;Victor Yankee;2020-05-13T11:02:00.735Z;Juliett Alfa X-ray;904
