createdAt;createdBy;modifiedAt;modifiedBy;ID;name;descr;telegramID
2020-10-15T05:55:21.824Z;Echo Bravo Tango;2019-08-23T21:48:07.349Z;Bravo Uniform Yankee;982;Uniform Delta Lima;November Romeo Sierra;Zulu Lima
2020-09-19T09:21:49.931Z;Bravo Zulu Echo;2018-01-02T13:34:39.649Z;Java Uniform;131;Echo Foxtrot;Quebec;Tango
2018-04-25T21:43:05.458Z;Romeo Bravo;2021-03-08T17:58:41.303Z;Uniform Quebec;604;Echo Delta;Tango Mike;Oscar Java Juliett
2019-06-21T07:45:17.374Z;Whiskey;2019-08-04T19:23:48.731Z;X-ray Charlie;906;Java;Quebec;Bravo November
2020-05-06T08:35:07.651Z;Juliett;2018-05-22T13:52:47.112Z;Quebec;606;Kilo;Victor Foxtrot;Uniform Mike
2022-11-09T20:57:00.171Z;Uniform X-ray Golf;2022-05-10T08:28:01.812Z;Juliett Zulu Hotel;85;Whiskey;Foxtrot Alfa;Tango Lima Kilo
2022-07-20T15:16:45.824Z;Kilo Alfa;2022-09-27T00:48:13.619Z;X-ray;461;Lima Hotel;Hotel Charlie November;Sierra Golf
2019-02-08T14:44:35.550Z;Zulu November Mike;2019-07-21T23:35:47.102Z;Java Oscar;47;Foxtrot Golf;Delta Zulu Yankee;Juliett Yankee
2019-05-02T17:20:00.158Z;Hotel Charlie Zulu;2019-01-07T16:46:45.615Z;Java Hotel Lima;270;Bravo;Echo Java India;India Zulu
2019-10-22T02:45:41.670Z;Uniform Tango Whiskey;2022-04-22T23:01:31.916Z;Uniform Alfa Sierra;904;Juliett;Zulu;November India X-ray
